#{"t_start": 1764232152.7326164, "env_id": "None"}
r,l,t
-292.53717,316,210.673596
-200.0,1,210.677805
-408.4682,706,211.133697
-815.00415,1570,212.104284
-200.0,1,212.108074
-551.879,1050,212.770456
-200.0,1,212.774833
-463.90976,694,213.207981
-200.0,1,213.212011
-223.24754,287,213.388485
-200.0,1,213.392535
-292.54626,364,213.636651
-200.0,1,213.640512
-453.22058,1038,214.288535
-200.0,1,214.293526
156.09386,419,214.53929
-238.02594,260,214.711677
-200.0,1,214.71578
-277.187,335,214.930646
-200.0,1,214.934299
-359.16074,671,215.329657
-200.0,1,215.333864
-434.5819,781,215.812474
-200.0,1,215.816921
-325.25327,668,216.20204
-295.17722,403,216.4828
-200.0,1,216.486451
-648.73285,1323,217.310895
-200.0,1,217.31456
-293.8125,329,217.539307
-200.0,1,217.545656
-374.86874,943,218.132046
-200.0,1,218.137472
-452.1828,1083,218.811235
-200.0,1,218.814922
-456.9776,831,219.321779
-200.0,1,219.325543
89.08527,745,219.810895
-245.04453,296,219.989379
-200.0,1,219.993115
3.7050476,982,220.603916
-230.80655,291,220.793377
-200.0,1,220.797301
-291.9538,351,221.02434
-200.0,1,221.028005
-245.0268,321,221.225783
-200.0,1,221.230084
-300.43002,617,221.610999
-200.0,1,221.615322
-274.66284,361,221.845142
-200.0,1,221.849121
-277.4041,385,222.083989
-200.0,1,222.090564
-483.41125,807,222.638473
-200.0,1,222.642726
-320.05237,420,222.913201
-200.0,1,222.917394
-262.33655,299,223.12283
-200.0,1,223.126889
-362.59143,710,223.568731
-200.0,1,223.573698
-301.4547,606,223.978343
-200.0,1,223.98352
-321.01392,580,224.366327
-200.0,1,224.370023
-332.53403,617,224.763822
-200.0,1,224.767863
-412.07532,659,225.183945
-200.0,1,225.188895
-333.0007,497,225.505707
-200.0,1,225.509835
-314.2938,683,225.965752
-368.35257,481,226.289346
